trial,production,response_time
1,P5,0.15
2,P4,0.14
3,P5,0.15
4,P10,0.2
5,P10,0.2
6,P10,0.2
7,P10,0.2
8,P10,0.2
9,P10,0.2
10,P10,0.2
11,P10,0.2
12,P10,0.2
13,P10,0.2
14,P10,0.2
15,P10,0.2
16,P10,0.2
17,P10,0.2
18,P10,0.2
19,P10,0.2
20,P10,0.2
21,P10,0.2
22,P10,0.2
23,P10,0.2
24,P10,0.2
25,P10,0.2
26,P10,0.2
27,P10,0.2
28,P10,0.2
29,P10,0.2
30,P10,0.2
31,P10,0.2
32,P10,0.2
33,P10,0.2
34,P10,0.2
35,P10,0.2
36,P10,0.2
37,P10,0.2
38,P10,0.2
39,P10,0.2
40,P10,0.2
41,P10,0.2
42,P10,0.2
43,P10,0.2
44,P10,0.2
45,P10,0.2
46,P10,0.2
47,P10,0.2
48,P10,0.2
49,P10,0.2
50,P10,0.2
51,P10,0.2
52,P10,0.2
53,P10,0.2
54,P10,0.2
55,P10,0.2
56,P10,0.2
57,P10,0.2
58,P10,0.2
59,P10,0.2
60,P10,0.2
61,P10,0.2
62,P10,0.2
63,P10,0.2
64,P10,0.2
65,P10,0.2
66,P10,0.2
67,P10,0.2
68,P10,0.2
69,P10,0.2
70,P10,0.2
71,P10,0.2
72,P10,0.2
73,P10,0.2
74,P10,0.2
75,P10,0.2
76,P10,0.2
77,P10,0.2
78,P10,0.2
79,P10,0.2
80,P10,0.2
81,P10,0.2
82,P10,0.2
83,P10,0.2
84,P10,0.2
85,P10,0.2
86,P10,0.2
87,P10,0.2
88,P10,0.2
89,P10,0.2
90,P10,0.2
91,P10,0.2
92,P10,0.2
93,P10,0.2
94,P10,0.2
95,P10,0.2
96,P10,0.2
97,P10,0.2
98,P10,0.2
99,P10,0.2
100,P10,0.2
101,P10,0.2
102,P10,0.2
103,P10,0.2
104,P10,0.2
105,P10,0.2
106,P10,0.2
107,P10,0.2
108,P10,0.2
109,P10,0.2
110,P10,0.2
111,P10,0.2
112,P10,0.2
113,P10,0.2
114,P10,0.2
115,P10,0.2
116,P10,0.2
117,P10,0.2
118,P10,0.2
119,P10,0.2
120,P10,0.2
121,P10,0.2
122,P10,0.2
123,P10,0.2
124,P10,0.2
125,P10,0.2
126,P10,0.2
127,P10,0.2
128,P10,0.2
129,P10,0.2
130,P10,0.2
131,P10,0.2
132,P10,0.2
133,P10,0.2
134,P10,0.2
135,P10,0.2
136,P10,0.2
137,P10,0.2
138,P10,0.2
139,P10,0.2
140,P10,0.2
141,P10,0.2
142,P10,0.2
143,P10,0.2
144,P10,0.2
145,P10,0.2
146,P10,0.2
147,P10,0.2
148,P10,0.2
149,P10,0.2
150,P10,0.2
151,P10,0.2
152,P10,0.2
153,P10,0.2
154,P10,0.2
155,P10,0.2
156,P10,0.2
157,P10,0.2
158,P10,0.2
159,P10,0.2
160,P10,0.2
161,P10,0.2
162,P10,0.2
163,P10,0.2
164,P10,0.2
165,P10,0.2
166,P10,0.2
167,P10,0.2
168,P10,0.2
169,P10,0.2
170,P10,0.2
171,P10,0.2
172,P10,0.2
173,P10,0.2
174,P10,0.2
175,P10,0.2
176,P10,0.2
177,P10,0.2
178,P10,0.2
179,P10,0.2
180,P10,0.2
181,P10,0.2
182,P10,0.2
183,P10,0.2
184,P10,0.2
185,P10,0.2
186,P10,0.2
187,P10,0.2
188,P10,0.2
189,P10,0.2
190,P10,0.2
191,P10,0.2
192,P10,0.2
193,P10,0.2
194,P10,0.2
195,P10,0.2
196,P10,0.2
197,P10,0.2
198,P10,0.2
199,P10,0.2
200,P10,0.2
201,P10,0.2
202,P10,0.2
203,P10,0.2
204,P10,0.2
205,P10,0.2
206,P10,0.2
207,P10,0.2
208,P10,0.2
