epoch,trial,production,response_time,firing_time,rewarded_time,delivered_reward,passed_time,received_reward,u,utility,at,difficulty,payoff
0,1,P8,0.35,0.298,0.298,8.808,0.248,8.56,5.4783998,4.696415,0.2477,5,10
0,2,P8,0.35,0.696,0.696,8.808,0.248,8.56,5.4783998,4.696415,0.2477,5,10
1,1,P5,0.24,0.186,0.186,2.6894,0.136,2.5534,1.634176,-0.6207745,0.1359,5,10
1,2,P5,0.24,0.472,0.472,2.6894,0.136,2.5534,1.634176,-0.6207745,0.1359,5,10
2,1,P6,0.27,0.216,0.216,5.0,0.166,4.834,3.789856,3.247055,0.166,5,10
2,2,P6,0.27,0.532,0.532,5.0,0.166,4.834,3.789856,3.247055,0.166,5,10
2,3,P6,0.27,0.848,0.848,5.0,0.166,4.834,3.789856,3.247055,0.166,5,10
3,1,P6,0.27,0.216,0.216,5.0,0.166,4.834,3.09376,3.4679766,0.166,5,10
3,2,P6,0.27,0.532,0.532,5.0,0.166,4.834,3.09376,3.4679766,0.166,5,10
3,3,P1,0.16,0.743,0.743,0.0669,0.061,0.0059000000000000025,0.0023599998,-0.49630287,0.0611,5,10
4,1,P4,0.21,0.161,0.161,1.192,0.111,1.081,0.43240005,0.042169422,0.1113,5,10
4,2,P5,0.24,0.447,0.447,2.6894,0.136,2.5534,1.634176,1.3648005,0.1359,5,10
4,3,P3,0.19,0.688,0.688,0.4743,0.091,0.3833,0.15332,-0.09610769,0.0911,5,10
5,1,P2,0.18,0.125,0.125,0.1799,0.075,0.10490000000000001,0.04196,0.27776122,0.0746,5,10
5,2,P9,0.4,0.577,0.577,9.5257,0.302,9.223700000000001,3.6894798,3.447825,0.3025,5,10
6,1,P8,0.35,0.298,0.298,8.808,0.248,8.56,5.4783998,4.7038116,0.2477,5,10
6,2,P8,0.35,0.696,0.696,8.808,0.248,8.56,5.4783998,4.7038116,0.2477,5,10
7,1,P7,0.3,0.253,0.253,7.3106,0.203,7.1076,5.572358,5.6801977,0.2028,5,10
7,2,P7,0.3,0.606,0.606,7.3106,0.203,7.1076,5.572358,5.6801977,0.2028,5,10
8,1,P1,0.16,0.111,0.111,0.0669,0.061,0.0059000000000000025,0.0023599998,-1.0323981,0.0611,5,10
8,2,P9,0.4,0.563,0.563,9.5257,0.302,9.223700000000001,3.6894798,2.6659389,0.3025,5,10
9,1,P9,0.4,0.352,0.352,9.5257,0.302,9.223700000000001,5.9031677,6.6976185,0.3025,5,10
9,2,P9,0.4,0.804,0.804,9.5257,0.302,9.223700000000001,5.9031677,6.6976185,0.3025,5,10
10,1,P5,0.24,0.186,0.186,2.6894,0.136,2.5534,1.02136,0.7738097,0.1359,5,10
10,2,P3,0.19,0.427,0.427,0.4743,0.091,0.3833,0.245312,1.3475955,0.0911,5,10
10,3,P1,0.16,0.638,0.638,0.0669,0.061,0.0059000000000000025,0.0023599998,-0.10731158,0.0611,5,10
10,4,P3,0.19,0.879,0.879,0.4743,0.091,0.3833,0.245312,1.3475955,0.0911,5,10
